"Notes"	"State"	"State Code"	"Weekday"	"Weekday Code"	Deaths	Births	Death Rate
	"Wisconsin"	"55"	"Wednesday"	"4"	59	10254	5.75
	"Wisconsin"	"55"	"Thursday"	"5"	56	10041	5.58
	"Wisconsin"	"55"	"Friday"	"6"	57	10471	5.44
	"Wisconsin"	"55"	"Saturday"	"7"	50	7240	6.91
	"Wyoming"	"56"	"Sunday"	"1"	Suppressed	532	Suppressed
	"Wyoming"	"56"	"Monday"	"2"	Suppressed	1024	Suppressed
	"Wyoming"	"56"	"Tuesday"	"3"	Suppressed	1096	Suppressed
	"Wyoming"	"56"	"Wednesday"	"4"	Suppressed	1137	Suppressed
	"Wyoming"	"56"	"Thursday"	"5"	Suppressed	1017	Suppressed
	"Wyoming"	"56"	"Friday"	"6"	Suppressed	1054	Suppressed
	"Wyoming"	"56"	"Saturday"	"7"	Suppressed	702	Suppressed
"---"
"Dataset: Linked Birth / Infant Death Records, 2017-2018 Expanded"
"Query Parameters:"
"Title: weekdays"
"Year of Death: 2018"
"Group By: State; Weekday"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/lbd-expanded.html for more information."
"---"
"Query Date: Oct 5, 2021 1:09:59 AM"
"---"
"Suggested Citation: United States Department of Health and Human Services (US DHHS), Centers of Disease Control and Prevention"
"(CDC), National Center for Health Statistics (NCHS), Division of Vital Statistics (DVS). Linked Birth / Infant Death Records"
"2017-2018, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program, on CDC WONDER On-line Database. Accessed at http://wonder.cdc.gov/lbd-current-expanded.html on Oct 5, 2021 1:09:59 AM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears instead of death, birth, and rate values when the death value represents 0-9 sub-national events. This"
"is because the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/lbd-expanded.html#Assurance of Confidentiality."
"2. 'Unreliable' appears for rates when there are fewer than 20 deaths in the numerator. This is because the figure does not meet"
"the NCHS standard of reliability or precision. More information: http://wonder.cdc.gov/wonder/help/lbd-expanded.html#Unreliable."
"3. Infant deaths are weighted so numbers may not exactly add to totals due to rounding. More information:"
"http://wonder.cdc.gov/wonder/help/lbd-expanded.html#WeightFactors-Totals."
"4. Note that there may be slight differences in the number of infant deaths when comparing the Linked Birth / Death Records to"
"the other vital statistics. More information: http://wonder.cdc.gov/wonder/help/lbd-expanded.html#Weight Factors."
