"Notes"	"State"	"State Code"	"Time of Day"	"Time of Day Code"	Deaths	Births	Death Rate
	"North Carolina"	"37"	"Not Reported"	"NR"	Suppressed	Suppressed	Suppressed
	"North Dakota"	"38"	"00:00 - 02:59"	"0"	Suppressed	1073	Suppressed
	"North Dakota"	"38"	"03:00 - 05:59"	"1"	Suppressed	906	Suppressed
	"North Dakota"	"38"	"06:00 - 08:59"	"2"	Suppressed	1588	Suppressed
	"North Dakota"	"38"	"09:00 - 11:59"	"3"	Suppressed	1346	Suppressed
	"North Dakota"	"38"	"12:00 - 14:59"	"4"	Suppressed	1669	Suppressed
	"North Dakota"	"38"	"15:00 - 17:59"	"5"	10	1500	6.67 (Unreliable)
	"North Dakota"	"38"	"18:00 - 20:59"	"6"	11	1411	7.80 (Unreliable)
	"North Dakota"	"38"	"21:00 - 23:59"	"7"	Suppressed	1143	Suppressed
	"North Dakota"	"38"	"Unknown or Not Stated"	"33"	Suppressed	Suppressed	Suppressed
	"North Dakota"	"38"	"Not Reported"	"NR"	Suppressed	Suppressed	Suppressed
	"Ohio"	"39"	"00:00 - 02:59"	"0"	101	12724	7.94
	"Ohio"	"39"	"03:00 - 05:59"	"1"	96	12111	7.93
	"Ohio"	"39"	"06:00 - 08:59"	"2"	116	18283	6.34
	"Ohio"	"39"	"09:00 - 11:59"	"3"	161	20224	7.96
	"Ohio"	"39"	"12:00 - 14:59"	"4"	110	21312	5.16
	"Ohio"	"39"	"15:00 - 17:59"	"5"	125	19235	6.50
	"Ohio"	"39"	"18:00 - 20:59"	"6"	116	16717	6.94
	"Ohio"	"39"	"21:00 - 23:59"	"7"	99	14509	6.82
	"Ohio"	"39"	"Unknown or Not Stated"	"33"	11	19	578.95 (Unreliable)
	"Ohio"	"39"	"Not Reported"	"NR"	Suppressed	Suppressed	Suppressed
	"Oklahoma"	"40"	"00:00 - 02:59"	"0"	34	3554	9.57
	"Oklahoma"	"40"	"03:00 - 05:59"	"1"	41	3310	12.39
	"Oklahoma"	"40"	"06:00 - 08:59"	"2"	42	7390	5.68
	"Oklahoma"	"40"	"09:00 - 11:59"	"3"	44	7666	5.74
	"Oklahoma"	"40"	"12:00 - 14:59"	"4"	63	9305	6.77
	"Oklahoma"	"40"	"15:00 - 17:59"	"5"	59	7839	7.53
	"Oklahoma"	"40"	"18:00 - 20:59"	"6"	33	6003	5.50
	"Oklahoma"	"40"	"21:00 - 23:59"	"7"	33	4730	6.98
	"Oklahoma"	"40"	"Unknown or Not Stated"	"33"	Suppressed	Suppressed	Suppressed
	"Oklahoma"	"40"	"Not Reported"	"NR"	Suppressed	Suppressed	Suppressed
	"Oregon"	"41"	"00:00 - 02:59"	"0"	16	4324	3.70 (Unreliable)
	"Oregon"	"41"	"03:00 - 05:59"	"1"	16	4172	3.84 (Unreliable)
	"Oregon"	"41"	"06:00 - 08:59"	"2"	20	6073	3.29
	"Oregon"	"41"	"09:00 - 11:59"	"3"	27	5872	4.60
	"Oregon"	"41"	"12:00 - 14:59"	"4"	27	5943	4.54
	"Oregon"	"41"	"15:00 - 17:59"	"5"	19	5443	3.49 (Unreliable)
	"Oregon"	"41"	"18:00 - 20:59"	"6"	24	5287	4.54
	"Oregon"	"41"	"21:00 - 23:59"	"7"	28	5070	5.52
	"Oregon"	"41"	"Unknown or Not Stated"	"33"	Suppressed	Suppressed	Suppressed
	"Oregon"	"41"	"Not Reported"	"NR"	Suppressed	Suppressed	Suppressed
	"Pennsylvania"	"42"	"00:00 - 02:59"	"0"	86	13569	6.34
	"Pennsylvania"	"42"	"03:00 - 05:59"	"1"	90	12869	6.99
	"Pennsylvania"	"42"	"06:00 - 08:59"	"2"	103	17744	5.80
	"Pennsylvania"	"42"	"09:00 - 11:59"	"3"	123	21250	5.79
	"Pennsylvania"	"42"	"12:00 - 14:59"	"4"	107	20239	5.29
	"Pennsylvania"	"42"	"15:00 - 17:59"	"5"	102	18732	5.45
	"Pennsylvania"	"42"	"18:00 - 20:59"	"6"	94	16158	5.82
	"Pennsylvania"	"42"	"21:00 - 23:59"	"7"	95	15098	6.29
	"Pennsylvania"	"42"	"Unknown or Not Stated"	"33"	Suppressed	14	Suppressed
	"Pennsylvania"	"42"	"Not Reported"	"NR"	Suppressed	Suppressed	Suppressed
	"Rhode Island"	"44"	"00:00 - 02:59"	"0"	Suppressed	1076	Suppressed
	"Rhode Island"	"44"	"03:00 - 05:59"	"1"	Suppressed	1021	Suppressed
	"Rhode Island"	"44"	"06:00 - 08:59"	"2"	Suppressed	1428	Suppressed
	"Rhode Island"	"44"	"09:00 - 11:59"	"3"	10	1537	6.51 (Unreliable)
	"Rhode Island"	"44"	"12:00 - 14:59"	"4"	Suppressed	1570	Suppressed
	"Rhode Island"	"44"	"15:00 - 17:59"	"5"	Suppressed	1425	Suppressed
	"Rhode Island"	"44"	"18:00 - 20:59"	"6"	Suppressed	1260	Suppressed
	"Rhode Island"	"44"	"21:00 - 23:59"	"7"	Suppressed	1185	Suppressed
	"Rhode Island"	"44"	"Unknown or Not Stated"	"33"	Suppressed	Suppressed	Suppressed
	"Rhode Island"	"44"	"Not Reported"	"NR"	Suppressed	Suppressed	Suppressed
	"South Carolina"	"45"	"00:00 - 02:59"	"0"	34	4206	8.08
	"South Carolina"	"45"	"03:00 - 05:59"	"1"	44	3853	11.42
	"South Carolina"	"45"	"06:00 - 08:59"	"2"	43	7560	5.69
	"South Carolina"	"45"	"09:00 - 11:59"	"3"	65	9121	7.13
	"South Carolina"	"45"	"12:00 - 14:59"	"4"	58	10247	5.66
	"South Carolina"	"45"	"15:00 - 17:59"	"5"	52	8906	5.84
	"South Carolina"	"45"	"18:00 - 20:59"	"6"	66	7051	9.36
	"South Carolina"	"45"	"21:00 - 23:59"	"7"	41	5724	7.16
	"South Carolina"	"45"	"Unknown or Not Stated"	"33"	Suppressed	Suppressed	Suppressed
	"South Carolina"	"45"	"Not Reported"	"NR"	Suppressed	Suppressed	Suppressed
	"South Dakota"	"46"	"00:00 - 02:59"	"0"	10	1118	8.94 (Unreliable)
	"South Dakota"	"46"	"03:00 - 05:59"	"1"	Suppressed	1039	Suppressed
	"South Dakota"	"46"	"06:00 - 08:59"	"2"	13	1747	7.44 (Unreliable)
	"South Dakota"	"46"	"09:00 - 11:59"	"3"	Suppressed	1595	Suppressed
	"South Dakota"	"46"	"12:00 - 14:59"	"4"	13	1930	6.74 (Unreliable)
	"South Dakota"	"46"	"15:00 - 17:59"	"5"	Suppressed	1749	Suppressed
	"South Dakota"	"46"	"18:00 - 20:59"	"6"	Suppressed	1379	Suppressed
	"South Dakota"	"46"	"21:00 - 23:59"	"7"	Suppressed	1334	Suppressed
	"South Dakota"	"46"	"Unknown or Not Stated"	"33"	Suppressed	Suppressed	Suppressed
	"South Dakota"	"46"	"Not Reported"	"NR"	Suppressed	Suppressed	Suppressed
	"Tennessee"	"47"	"00:00 - 02:59"	"0"	49	6266	7.82
	"Tennessee"	"47"	"03:00 - 05:59"	"1"	52	5703	9.12
	"Tennessee"	"47"	"06:00 - 08:59"	"2"	76	10548	7.21
	"Tennessee"	"47"	"09:00 - 11:59"	"3"	93	12235	7.60
	"Tennessee"	"47"	"12:00 - 14:59"	"4"	82	14916	5.50
	"Tennessee"	"47"	"15:00 - 17:59"	"5"	82	12896	6.36
	"Tennessee"	"47"	"18:00 - 20:59"	"6"	65	10141	6.41
	"Tennessee"	"47"	"21:00 - 23:59"	"7"	54	8028	6.73
	"Tennessee"	"47"	"Unknown or Not Stated"	"33"	Suppressed	18	Suppressed
	"Tennessee"	"47"	"Not Reported"	"NR"	Suppressed	Suppressed	Suppressed
	"Texas"	"48"	"00:00 - 02:59"	"0"	189	28226	6.70
	"Texas"	"48"	"03:00 - 05:59"	"1"	207	26429	7.83
	"Texas"	"48"	"06:00 - 08:59"	"2"	245	54168	4.52
	"Texas"	"48"	"09:00 - 11:59"	"3"	316	57939	5.45
	"Texas"	"48"	"12:00 - 14:59"	"4"	323	71331	4.53
	"Texas"	"48"	"15:00 - 17:59"	"5"	308	58135	5.30
	"Texas"	"48"	"18:00 - 20:59"	"6"	249	46433	5.36
	"Texas"	"48"	"21:00 - 23:59"	"7"	239	35959	6.65
	"Texas"	"48"	"Unknown or Not Stated"	"33"	Suppressed	Suppressed	Suppressed
	"Texas"	"48"	"Not Reported"	"NR"	Suppressed	Suppressed	Suppressed
	"Utah"	"49"	"00:00 - 02:59"	"0"	30	4214	7.12
	"Utah"	"49"	"03:00 - 05:59"	"1"	27	4050	6.67
	"Utah"	"49"	"06:00 - 08:59"	"2"	33	6402	5.15
	"Utah"	"49"	"09:00 - 11:59"	"3"	31	5829	5.32
	"Utah"	"49"	"12:00 - 14:59"	"4"	31	7858	3.95
	"Utah"	"49"	"15:00 - 17:59"	"5"	38	7385	5.15
	"Utah"	"49"	"18:00 - 20:59"	"6"	36	6303	5.71
	"Utah"	"49"	"21:00 - 23:59"	"7"	31	5167	6.00
	"Utah"	"49"	"Unknown or Not Stated"	"33"	Suppressed	Suppressed	Suppressed
	"Utah"	"49"	"Not Reported"	"NR"	Suppressed	Suppressed	Suppressed
	"Vermont"	"50"	"00:00 - 02:59"	"0"	Suppressed	614	Suppressed
	"Vermont"	"50"	"03:00 - 05:59"	"1"	Suppressed	591	Suppressed
	"Vermont"	"50"	"06:00 - 08:59"	"2"	Suppressed	718	Suppressed
	"Vermont"	"50"	"09:00 - 11:59"	"3"	Suppressed	767	Suppressed
	"Vermont"	"50"	"12:00 - 14:59"	"4"	Suppressed	756	Suppressed
	"Vermont"	"50"	"15:00 - 17:59"	"5"	Suppressed	664	Suppressed
	"Vermont"	"50"	"18:00 - 20:59"	"6"	Suppressed	683	Suppressed
	"Vermont"	"50"	"21:00 - 23:59"	"7"	Suppressed	639	Suppressed
	"Vermont"	"50"	"Unknown or Not Stated"	"33"	Suppressed	Suppressed	Suppressed
	"Vermont"	"50"	"Not Reported"	"NR"	Suppressed	Suppressed	Suppressed
	"Virginia"	"51"	"00:00 - 02:59"	"0"	69	9289	7.43
	"Virginia"	"51"	"03:00 - 05:59"	"1"	56	8696	6.44
	"Virginia"	"51"	"06:00 - 08:59"	"2"	61	12724	4.79
	"Virginia"	"51"	"09:00 - 11:59"	"3"	83	15047	5.52
	"Virginia"	"51"	"12:00 - 14:59"	"4"	87	15818	5.50
	"Virginia"	"51"	"15:00 - 17:59"	"5"	71	14778	4.80
	"Virginia"	"51"	"18:00 - 20:59"	"6"	76	12581	6.04
	"Virginia"	"51"	"21:00 - 23:59"	"7"	57	10910	5.22
	"Virginia"	"51"	"Unknown or Not Stated"	"33"	Suppressed	Suppressed	Suppressed
	"Virginia"	"51"	"Not Reported"	"NR"	Suppressed	Suppressed	Suppressed
	"Washington"	"53"	"00:00 - 02:59"	"0"	44	9206	4.78
	"Washington"	"53"	"03:00 - 05:59"	"1"	44	8799	5.00
	"Washington"	"53"	"06:00 - 08:59"	"2"	48	12269	3.91
	"Washington"	"53"	"09:00 - 11:59"	"3"	52	11953	4.35
	"Washington"	"53"	"12:00 - 14:59"	"4"	43	12341	3.48
	"Washington"	"53"	"15:00 - 17:59"	"5"	65	11161	5.82
	"Washington"	"53"	"18:00 - 20:59"	"6"	62	10544	5.88
	"Washington"	"53"	"21:00 - 23:59"	"7"	46	9786	4.70
	"Washington"	"53"	"Unknown or Not Stated"	"33"	Suppressed	26	Suppressed
	"Washington"	"53"	"Not Reported"	"NR"	Suppressed	Suppressed	Suppressed
	"West Virginia"	"54"	"00:00 - 02:59"	"0"	13	1838	7.07 (Unreliable)
	"West Virginia"	"54"	"03:00 - 05:59"	"1"	14	2152	6.51 (Unreliable)
	"West Virginia"	"54"	"06:00 - 08:59"	"2"	24	3065	7.83
	"West Virginia"	"54"	"09:00 - 11:59"	"3"	26	3391	7.67
	"West Virginia"	"54"	"12:00 - 14:59"	"4"	14	2858	4.90 (Unreliable)
	"West Virginia"	"54"	"15:00 - 17:59"	"5"	19	1990	9.55 (Unreliable)
	"West Virginia"	"54"	"18:00 - 20:59"	"6"	Suppressed	1615	Suppressed
	"West Virginia"	"54"	"21:00 - 23:59"	"7"	Suppressed	1338	Suppressed
	"West Virginia"	"54"	"Unknown or Not Stated"	"33"	Suppressed	Suppressed	Suppressed
	"West Virginia"	"54"	"Not Reported"	"NR"	Suppressed	Suppressed	Suppressed
	"Wisconsin"	"55"	"00:00 - 02:59"	"0"	45	6127	7.34
	"Wisconsin"	"55"	"03:00 - 05:59"	"1"	47	5864	8.02
	"Wisconsin"	"55"	"06:00 - 08:59"	"2"	55	9123	6.03
	"Wisconsin"	"55"	"09:00 - 11:59"	"3"	46	8550	5.38
	"Wisconsin"	"55"	"12:00 - 14:59"	"4"	55	9922	5.54
	"Wisconsin"	"55"	"15:00 - 17:59"	"5"	48	9308	5.16
	"Wisconsin"	"55"	"18:00 - 20:59"	"6"	48	8068	5.95
	"Wisconsin"	"55"	"21:00 - 23:59"	"7"	45	7128	6.31
	"Wisconsin"	"55"	"Unknown or Not Stated"	"33"	Suppressed	Suppressed	Suppressed
	"Wisconsin"	"55"	"Not Reported"	"NR"	Suppressed	Suppressed	Suppressed
	"Wyoming"	"56"	"00:00 - 02:59"	"0"	Suppressed	565	Suppressed
	"Wyoming"	"56"	"03:00 - 05:59"	"1"	Suppressed	477	Suppressed
	"Wyoming"	"56"	"06:00 - 08:59"	"2"	Suppressed	1064	Suppressed
	"Wyoming"	"56"	"09:00 - 11:59"	"3"	Suppressed	783	Suppressed
	"Wyoming"	"56"	"12:00 - 14:59"	"4"	Suppressed	1039	Suppressed
	"Wyoming"	"56"	"15:00 - 17:59"	"5"	Suppressed	1001	Suppressed
	"Wyoming"	"56"	"18:00 - 20:59"	"6"	Suppressed	903	Suppressed
	"Wyoming"	"56"	"21:00 - 23:59"	"7"	Suppressed	729	Suppressed
	"Wyoming"	"56"	"Unknown or Not Stated"	"33"	Suppressed	Suppressed	Suppressed
	"Wyoming"	"56"	"Not Reported"	"NR"	Suppressed	Suppressed	Suppressed
"---"
"Dataset: Linked Birth / Infant Death Records, 2017-2018 Expanded"
"Query Parameters:"
"Title: hours"
"Year of Death: 2018"
"Group By: State; Time of Day"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/lbd-expanded.html for more information."
"---"
"Query Date: Oct 5, 2021 1:10:49 AM"
"---"
"Suggested Citation: United States Department of Health and Human Services (US DHHS), Centers of Disease Control and Prevention"
"(CDC), National Center for Health Statistics (NCHS), Division of Vital Statistics (DVS). Linked Birth / Infant Death Records"
"2017-2018, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program, on CDC WONDER On-line Database. Accessed at http://wonder.cdc.gov/lbd-current-expanded.html on Oct 5, 2021 1:10:49 AM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears instead of death, birth, and rate values when the death value represents 0-9 sub-national events. This"
"is because the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/lbd-expanded.html#Assurance of Confidentiality."
"2. 'Unreliable' appears for rates when there are fewer than 20 deaths in the numerator. This is because the figure does not meet"
"the NCHS standard of reliability or precision. More information: http://wonder.cdc.gov/wonder/help/lbd-expanded.html#Unreliable."
"3. Infant deaths are weighted so numbers may not exactly add to totals due to rounding. More information:"
"http://wonder.cdc.gov/wonder/help/lbd-expanded.html#WeightFactors-Totals."
"4. Note that there may be slight differences in the number of infant deaths when comparing the Linked Birth / Death Records to"
"the other vital statistics. More information: http://wonder.cdc.gov/wonder/help/lbd-expanded.html#Weight Factors."
